CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore
21	25	-3.77	0	0.812545	0.656795
21	1055	-481.84	0	0.85043	0.568882
37	63	-27.77	0	0.814619	0.670643
37	65	-29.71	0	0.801589	0.695163
52	79	-27.05	0	0.812626	0.6499
63	127	-57.72	0	0.820957	0.727412
91	123	-28.029	0	0.905455	0.704403
102	151	-33.99	0	0.951545	0.871776
105	155	-33.89	0	0.800852	0.715606
109	127	-15.02	0	0.801831	0.622625
111	149	-28.0277	0	0.912133	0.938232
111	199	-56.0655	0	0.957645	0.783298
111	201	-57.0655	0	0.905362	0.646666
111	245	-84.0955	0	0.97141	0.822356
117	354	-118.91	0	0.835764	0.618683
117	381	-134.91	0	0.811376	0.656543
126	183	-33.9847	0	0.90045	0.834191
143	675	-266.121	0	0.814378	0.522612
144	203	-33.92	0	0.885769	0.780578
147	172	-14.02	0	0.8185	0.678544
147	219	-42.05	0	0.839737	0.664781
149	176	-15.9978	0	0.818981	0.667743
149	199	-28.0378	0	0.821735	0.831735
149	226	-44.0333	0	0.859117	0.741011
149	245	-56.0678	0	0.831743	0.852608
154	214	-33.985	0	0.846929	0.765878
172	219	-28.03	0	0.868463	0.599961
176	226	-28.0355	0	0.835	0.712012
176	286	-56.0612	0	0.843733	0.751647
195	252	-33.98	0	0.871947	0.76904
199	201	-1	0	0.947246	0.914041
199	226	-15.9955	0	0.848368	0.695551
199	245	-28.03	0	0.978048	0.865663
199	286	-44.0212	0	0.900452	0.810985
199	356	-72.06	0	0.911881	0.858774
201	245	-27.03	0	0.938179	0.821927
201	286	-43.0212	0	0.955771	0.82832
201	315	-55.0588	0	0.931504	0.710565
205	241	-17.8222	0	0.848739	0.76219
217	382	-75.09	0	0.802941	0.782694
226	286	-28.0258	0	0.874716	0.756673
241	357	-49.0678	0	0.834284	0.569836
245	286	-15.9912	0	0.908931	0.836832
245	315	-28.0288	0	0.98917	0.833127
245	356	-44.03	0	0.917644	0.851412
246	250	-1	0	0.873261	0.780466
250	294	-17	0	0.882158	0.727358
261	262	-2.13	0	0.973229	0.897638
262	348	-28	0	0.812946	0.638427
290	341	-18.17	0	0.811309	0.734443
299	586	-161.79	0	0.902476	0.846757
299	591	-162.44	0	0.800691	0.625491
302	528	-135	0	0.816825	0.76543
303	535	-135.63	0	0.835136	0.404289
315	356	-16.0012	0	0.920455	0.878276
318	324	-1.06998	0	0.8457	0.755937
323	325	-1.00641	0	0.930342	0.862926
325	327	-1	0	0.871219	0.785417
345	369	-14.0159	0	0.844207	0.768127
353	377	-13.57	0	0.874866	0.653007
355	426	-43.86	0	0.825501	0.679079
362	383	-14.01	0	0.823103	0.789594
379	978	-226.98	0	0.83508	0.618466
386	410	-15.99	0	0.831178	0.5988
388	416	-16.17	0	0.845738	0.625907
402	790	-162.23	0	0.859767	0.67716
431	486	-33.9868	0	0.898838	0.775641
477	495	-14.0086	0	0.803129	0.715318
494	550	-33.99	0	0.85684	0.749889
502	738	-84.3064	0	0.847322	0.812944
526	562	-16.07	0	0.84575	0.7273
528	706	-58.11	0	0.800624	0.648181
535	538	-1.07001	0	0.846286	0.551398
535	619	-34.02	0	0.855802	0.42853
547	1256	-205.14	0	0.837354	0.565569
564	660	-28.08	0	0.965226	0.788348
586	591	-0.649963	0	0.884836	0.72273
589	598	-531.593	0	0.803534	0.661045
589	617	-6.73004	0	0.822909	0.607536
599	608	-2.01154	0	0.809382	0.617714
605	1135	388.945	0	0.834498	0.603168
608	654	-10.9185	0	0.801447	0.623484
616	715	-26.0183	0	0.806635	0.686494
617	618	-536.763	0	0.857678	0.632088
619	702	-21.98	0	0.875035	0.440437
620	689	-16.97	0	0.807428	0.689447
626	738	-28.0355	0	0.956359	0.828225
633	634	-0.0599976	0	0.813212	0.62871
633	742	-28.0341	0	0.831478	0.658935
634	742	-27.9741	0	0.849776	0.66191
652	895	-64.11	0	0.869998	0.721703
675	677	-1.26862	0	0.944847	0.72936
675	715	-10.0413	0	0.824269	0.60972
677	689	-1.72998	0	0.842457	0.61724
689	855	-43.08	0	0.809967	0.599954
706	712	-1	0	0.819009	0.74659
706	889	-46.02	0	0.836235	0.732076
706	895	-48.03	0	0.836682	0.699317
706	1057	-94.02	0	0.829382	0.675997
706	1199	-136.03	0	0.852999	0.758839
706	1295	-165.08	0	0.840578	0.656434
706	1326	-176.18	0	0.854814	0.71612
706	1360	-188.11	0	0.823784	0.732401
712	735	-6.04999	0	0.849547	0.696722
715	726	-2.01453	0	0.817966	0.733163
726	775	-15.9759	0	0.81798	0.789324
726	827	-26.0192	0	0.874395	0.753175
775	890	-26.0144	0	0.811369	0.677692
780	835	-15.1	0	0.818356	0.73462
780	840	-16.1	0	0.894104	0.786729
780	903	-31.09	0	0.823871	0.71862
806	815	-1.82001	0	0.807782	0.682289
807	1046	-64.9391	0	0.831289	0.690971
814	1256	-126.135	0	0.810462	0.548899
814	1362	-160.095	0	0.885651	0.646093
834	899	-15.89	0	0.881958	0.791416
835	840	-1	0	0.862464	0.793836
835	903	-15.99	0	0.852496	0.782972
840	903	-14.99	0	0.866374	0.768526
844	855	-1.47998	0	0.825589	0.69632
844	905	-13.91	0	0.806807	0.701416
844	953	-28.02	0	0.856019	0.709774
844	1007	-41.96	0	0.820823	0.623726
847	903	-13.31	0	0.805645	0.702264
847	974	-32.95	0	0.85711	0.752157
847	1011	-43.91	0	0.859317	0.745939
847	1142	-84.17	0	0.875978	0.767045
847	1155	-86.34	0	0.83314	0.714767
847	1227	-108.18	0	0.898694	0.80673
847	1278	-124.32	0	0.894255	0.691688
847	1308	-134.43	0	0.829588	0.691688
847	1333	-142.41	0	0.855398	0.691688
847	1511	-203.92	0	0.814495	0.681765
857	1060	-56.03	0	0.800056	0.664989
889	895	-2.00995	0	0.930645	0.820729
889	943	-16.05	0	0.829461	0.719962
889	962	-21.93	0	0.826715	0.664028
889	1057	-48	0	0.927443	0.782903
889	1063	-50.99	0	0.834546	0.639344
889	1180	-84.96	0	0.857807	0.75583
889	1295	-119.06	0	0.896307	0.775097
889	1360	-142.09	0	0.899789	0.751737
889	1500	-191.06	0	0.928056	0.782875
895	943	-14.04	0	0.838894	0.654066
895	962	-19.92	0	0.877942	0.76315
895	1057	-45.9901	0	0.902625	0.756997
895	1180	-82.95	0	0.867188	0.750506
895	1295	-117.05	0	0.881899	0.750506
895	1326	-128.15	0	0.861116	0.670518
895	1360	-140.08	0	0.882796	0.739079
899	935	-12.18	0	0.810849	0.650036
899	947	-14.25	0	0.81758	0.691559
903	1142	-70.86	0	0.857591	0.76364
905	953	-14.11	0	0.824405	0.661683
905	1007	-28.05	0	0.826417	0.694741
935	947	-2.07001	0	0.842524	0.742815
935	988	-13.97	0	0.82936	0.61621
943	1057	-31.95	0	0.806429	0.711752
943	1326	-114.11	0	0.830188	0.583524
943	1360	-126.04	0	0.806028	0.622423
953	1007	-13.94	0	0.85843	0.686336
962	1063	-29.06	0	0.894266	0.809374
974	1011	-10.96	0	0.869563	0.738993
974	1101	-38.4	0	0.801957	0.610795
974	1142	-51.22	0	0.841545	0.698278
974	1155	-53.39	0	0.900551	0.731196
974	1227	-75.23	0	0.882288	0.724533
974	1278	-91.37	0	0.896826	0.724533
974	1333	-109.46	0	0.915381	0.724533
974	1786	-324.32	0	0.821463	0.664414
978	1139	-47.9973	0	0.849895	0.516605
978	1261	-84.9612	0	0.823846	0.540259
988	999	-2.16998	0	0.829558	0.705721
989	994	-0.0205078	0	0.902487	0.485898
989	998	-1.27051	0	0.808102	0.627711
994	998	-1.25	0	0.837058	0.439629
1011	1142	-40.2599	0	0.878515	0.765812
1011	1155	-42.43	0	0.868585	0.717761
1011	1227	-64.27	0	0.897697	0.739418
1011	1278	-80.41	0	0.926826	0.739418
1011	1511	-160.01	0	0.818003	0.68839
1021	1139	-33.9893	0	0.822947	0.487369
1053	1121	-21.6322	0	0.844499	0.591297
1057	1063	-2.98999	0	0.801743	0.625922
1057	1180	-36.96	0	0.808194	0.649588
1057	1295	-71.06	0	0.855439	0.701305
1057	1360	-94.09	0	0.870513	0.703561
1057	1500	-143.06	0	0.856679	0.660777
1063	1500	-140.07	0	0.807198	0.572513
1101	1333	-71.06	0	0.844865	0.601667
1122	1388	-81.97	0	0.815802	0.706842
1139	1268	-39.0119	0	0.893581	0.611168
1139	1716	-227.943	0	0.86601	0.621047
1142	1155	-2.17004	0	0.89134	0.777754
1142	1227	-24.01	0	0.919434	0.800656
1142	1278	-40.15	0	0.929093	0.747759
1142	1308	-50.26	0	0.842264	0.779769
1142	1333	-58.2401	0	0.908159	0.747759
1142	1511	-119.75	0	0.806506	0.720731
1155	1227	-21.84	0	0.90698	0.72405
1155	1278	-37.98	0	0.921123	0.696577
1155	1308	-48.09	0	0.848668	0.72405
1155	1333	-56.07	0	0.909194	0.696577
1155	1511	-117.58	0	0.842544	0.686699
1155	1786	-270.93	0	0.819309	0.618763
1156	1295	-41.05	0	0.82739	0.799271
1156	1333	-55.05	0	0.868283	0.83548
1170	1618	-162.06	0	0.934759	0.780837
1170	1857	-324.11	0	0.902593	0.825326
1170	2088	-486.18	0	0.891718	0.775725
1180	1295	-34.1	0	0.874042	0.789237
1180	1326	-45.2	0	0.802294	0.649814
1180	1360	-57.13	0	0.824899	0.732184
1180	1500	-106.1	0	0.809192	0.736987
1223	1675	-172.566	0	0.82863	0.538655
1227	1278	-16.14	0	0.960793	0.829721
1227	1308	-26.25	0	0.904196	0.861187
1227	1333	-34.23	0	0.928	0.82972
1227	1511	-95.74	0	0.873312	0.810707
1227	1786	-249.09	0	0.83229	0.708619
1232	1293	-17.95	0	0.827788	0.674621
1249	1337	-28.99	0	0.81441	0.791887
1253	1388	-42.9772	0	0.820974	0.804212
1256	1362	-33.96	0	0.828025	0.683786
1261	1268	-2.04803	0	0.881178	0.729067
1268	1716	-188.931	0	0.854444	0.570247
1278	1308	-10.11	0	0.913349	0.851067
1278	1333	-18.09	0	0.959322	1
1278	1511	-79.6	0	0.869173	0.774692
1278	1786	-232.95	0	0.854057	0.752651
1293	1326	-12.02	0	0.843645	0.809407
1295	1326	-11.1	0	0.8711	0.784786
1295	1333	-14	0	0.865008	0.854808
1295	1360	-23.03	0	0.879837	0.867314
1295	1500	-72	0	0.874936	0.77866
1308	1786	-222.84	0	0.822187	0.752651
1311	1316	-2.03094	0	0.845716	0.781061
1311	1356	-15.041	0	0.817647	0.764217
1316	1367	-15.9882	0	0.848197	0.779835
1326	1360	-11.93	0	0.835283	0.758104
1333	1786	-214.86	0	0.823838	0.752651
1337	1539	-72.22	0	0.800269	0.630682
1346	1348	-1.77997	0	0.826863	0.685039
1360	1500	-48.97	0	0.852298	0.707883
1388	1578	-76.05	0	0.819466	0.690893
1444	1578	-54.98	0	0.806927	0.603032
