cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path
3	inputspectra/spec-00013.mzXML	231366	36.2569	0	130.74	79	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
3	inputspectra/spec-00013.mzXML	558734	48.0077	0	130.91	103	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
3	inputspectra/spec-00013.mzXML	10802.4	254.789	0	129.84	483	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
4	inputspectra/spec-00002.mzXML	13101.6	26.8813	0	133.11	28	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
4	inputspectra/spec-00002.mzXML	13862.2	38.5536	0	132.26	39	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
4	inputspectra/spec-00002.mzXML	8626.84	341.21	0	132.16	322	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
4	inputspectra/spec-00002.mzXML	8078.87	350.498	0	133.12	330	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
4	inputspectra/spec-00002.mzXML	7513.91	471.628	0	132.12	442	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
4	inputspectra/spec-00002.mzXML	11931.9	482.57	0	132.07	452	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
6	inputspectra/spec-00002.mzXML	33874.3	580.926	0	137.13	542	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
6	inputspectra/spec-00013.mzXML	16522	262.932	0	137.64	497	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
