#Scan#	abs_DeltaMZ	Compound_Name	Precursor_MZ	Adduct	LibraryQualityString	SpectrumID	Suspect Name	suspect_index	cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	cluster_index_lib	ScanNumber_lib	Original_Path_lib
147	14.02	C17-Sphinganine	288.291	M+H	Bronze	CCMSLIB00000579284	Suspect related to C17-Sphinganine +CH2	172	172.0	inputspectra/spec-00017.mzXML	473772.0	33.0267	0.0	302.31	34.0	spec/spec-00017.mzXML	f.MSV000078547/spectrum/DLab/121207_proximicin_B_DD_MS2.mzXML	147.0	302.0	f.MSV000078547/spectrum/DLab/fi1026d_FT-it.mzXML
1520	15.998	Beauvericin	806.3989999999999	M+Na	Bronze	CCMSLIB00003416348	Suspect related to Beauvericin +O	1551	1551.0	inputspectra/spec-00024.mzXML	65065.0	209.544	0.0	822.393	139.0	spec/spec-00024.mzXML	f.MSV000078547/spectrum/DLab/121207_aby_J_DD_MS2.mzXML	1520.0	29.0	f.MSV000078547/spectrum/DLab/121207_aby_J_DD_MS2.mzXML
410	15.99	Tyr-Pro-Phe	426.202	M+H	Bronze	CCMSLIB00003729791	Suspect related to Tyr-Pro-Phe -O	386	386.0	inputspectra/spec-00004.mzXML	116645.0	122.189	0.0	410.22	132.0	spec/spec-00004.mzXML	f.MSV000078547/spectrum/DLab/fi1026d_FT-it.mzXML	410.0	97.0	f.MSV000078547/spectrum/DLab/fi1026c_FT-it.mzXML
238	28.0308	Pseudopyronine B	295.228	M+H	Bronze	CCMSLIB00000223956	Suspect related to Pseudopyronine B -C2H4	193	193.0	inputspectra/spec-00048.mzXML	14275.2	144.195	0.0	267.2	162.0	spec/spec-00048.mzXML	f.MSV000078552/spectrum/Pseudomonas/Pseudomonas_012712_Pseudomonas_3w11m1.mzXML	238.0	530.0	f.MSV000078552/spectrum/Pseudomonas/Pseudomonas_012712_Pseudomonas_3w11m1.mzXML
43603	28.035999999999998	Massbank:FIO00053 delta-Dodecalactone	199.17	[M+H]+	Bronze	CCMSLIB00000213680	Suspect related to Massbank:FIO00053 delta-Dodecalactone +C2H4	138096	138096.0	inputspectra/spec-00594.mzXML	224632.0	391.412	0.0	227.2	2599.0	spec/spec-00594.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/13m__BA1_01_2023.mzXML	43603.0	2270.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA4_01_2233.mzXML
43603	28.04	Massbank:FIO00053 delta-Dodecalactone	199.17	[M+H]+	Bronze	CCMSLIB00000213680	Suspect related to Massbank:FIO00053 delta-Dodecalactone +C2H4	138847	138847.0	inputspectra/spec-00313.mzXML	116028.0	391.598	0.0	227.21200000000002	2601.0	spec/spec-00313.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BD3_01_944.mzXML	43603.0	2270.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA4_01_2233.mzXML
43603	28.041999999999998	Massbank:FIO00053 delta-Dodecalactone	199.17	[M+H]+	Bronze	CCMSLIB00000213680	Suspect related to Massbank:FIO00053 delta-Dodecalactone +C2H4	138897	138897.0	inputspectra/spec-00969.mzXML	27564.0	392.085	0.0	227.202	2605.0	spec/spec-00969.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/13m__BD9_01_2067.mzXML	43603.0	2270.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA4_01_2233.mzXML
250283	28.031	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid -C2H4	138096	138096.0	inputspectra/spec-00594.mzXML	224632.0	391.412	0.0	227.2	2599.0	spec/spec-00594.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/13m__BA1_01_2023.mzXML	250283.0	2887.0	f.MSV000078556/spectrum/Human_Swabs/Woman/11m__BD4_01_1858.mzXML
250283	28.033	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid -C2H4	138023	138023.0	inputspectra/spec-00262.mzXML	136252.0	392.19199999999995	0.0	227.18900000000002	2602.0	spec/spec-00262.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA5_01_1211.mzXML	250283.0	2887.0	f.MSV000078556/spectrum/Human_Swabs/Woman/11m__BD4_01_1858.mzXML
250283	28.034000000000002	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid -C2H4	138039	138039.0	inputspectra/spec-00357.mzXML	119392.0	391.57099999999997	0.0	227.204	2602.0	spec/spec-00357.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB12_01_929.mzXML	250283.0	2887.0	f.MSV000078556/spectrum/Human_Swabs/Woman/11m__BD4_01_1858.mzXML
